recv_time_ms,snapshot_id,seq_num,server_ts,latency_ms,jitter_ms
1765313818520,904,904,1765313818468,52,11
1765313818568,905,905,1765313818523,45,3
1765313818589,906,906,1765313818577,12,9
1765313818914,907,907,1765313818632,282,43
1765313818917,908,908,1765313818686,231,228
1765313818918,909,909,1765313818738,180,179
1765313818918,910,910,1765313818790,128,128
1765313818918,911,911,1765313818843,75,75
1765313818919,912,912,1765313818893,26,25
1765313818971,913,913,1765313818945,26,26
1765313819000,914,914,1765313819000,0,29
1765313819055,915,915,1765313819055,0,55
1765313819111,916,916,1765313819110,1,55
1765313819166,917,917,1765313819165,1,54
1765313819221,918,918,1765313819220,1,54
1765313819274,919,919,1765313819273,1,52
1765313819329,920,920,1765313819328,1,54
1765313819384,921,921,1765313819383,1,54
1765313819439,922,922,1765313819439,0,55
1765313819494,923,923,1765313819493,1,54
1765313819549,924,924,1765313819548,1,54
1765313819602,925,925,1765313819602,0,53
1765313819658,926,926,1765313819657,1,55
1765313819712,927,927,1765313819712,0,54
1765313819767,928,928,1765313819767,0,55
1765313819820,929,929,1765313819819,1,52
1765313819874,930,930,1765313819873,1,53
1765313819925,931,931,1765313819924,1,50
1765313819979,932,932,1765313819979,0,54
1765313820033,933,933,1765313820033,0,54
1765313820084,934,934,1765313820084,0,51
1765313820136,935,935,1765313820136,0,52
1765313820191,936,936,1765313820191,0,55
1765313820244,937,937,1765313820244,0,53
1765313820299,938,938,1765313820299,0,55
1765313820354,939,939,1765313820354,0,55
1765313820409,940,940,1765313820409,0,55
1765313820465,941,941,1765313820464,1,55
1765313820520,942,942,1765313820519,1,54
1765313820571,943,943,1765313820571,0,51
1765313820625,944,944,1765313820625,0,54
1765313820680,945,945,1765313820679,1,54
1765313820732,946,946,1765313820732,0,52
1765313820785,947,947,1765313820785,0,53
1765313820839,948,948,1765313820838,1,53
1765313820894,949,949,1765313820893,1,54
1765313820945,950,950,1765313820945,0,51
1765313821000,951,951,1765313821000,0,55
1765313821055,952,952,1765313821055,0,55
1765313821111,953,953,1765313821110,1,55
1765313821166,954,954,1765313821165,1,54
1765313821217,955,955,1765313821217,0,51
1765313821268,956,956,1765313821267,1,50
1765313821323,957,957,1765313821322,1,54
1765313821373,958,958,1765313821373,0,50
1765313821427,959,959,1765313821426,1,53
1765313821482,960,960,1765313821481,1,54
1765313821537,961,961,1765313821536,1,54
1765313821598,962,962,1765313821590,8,53
1765313821645,963,963,1765313821645,0,47
1765313821696,964,964,1765313821696,0,51
1765313821751,965,965,1765313821751,0,55
1765313821806,966,966,1765313821806,0,55
1765313821861,967,967,1765313821861,0,55
1765313821916,968,968,1765313821916,0,55
1765313821967,969,969,1765313821967,0,51
1765313822022,970,970,1765313822022,0,55
1765313822077,971,971,1765313822077,0,55
1765313822130,972,972,1765313822130,0,53
1765313822185,973,973,1765313822185,0,55
1765313822240,974,974,1765313822240,0,55
1765313822295,975,975,1765313822295,0,55
1765313822350,976,976,1765313822350,0,55
1765313822404,977,977,1765313822403,1,53
1765313822459,978,978,1765313822458,1,54
1765313822514,979,979,1765313822513,1,54
1765313822569,980,980,1765313822568,1,54
1765313822624,981,981,1765313822624,0,55
1765313822676,982,982,1765313822676,0,52
1765313822731,983,983,1765313822731,0,55
1765313822785,984,984,1765313822785,0,54
1765313822836,985,985,1765313822835,1,50
1765313822888,986,986,1765313822888,0,52
1765313822943,987,987,1765313822943,0,55
1765313822994,988,988,1765313822993,1,50
1765313823048,989,989,1765313823047,1,53
1765313823101,990,990,1765313823101,0,53
1765313823152,991,991,1765313823152,0,51
1765313823207,992,992,1765313823207,0,55
1765313823262,993,993,1765313823262,0,55
1765313823317,994,994,1765313823317,0,55
1765313823372,995,995,1765313823372,0,55
1765313823422,996,996,1765313823422,0,50
