timestamp_ms,packets_received,duplicate_rate,sequence_gaps,scenario
1765459925839,39,0.0,0,baseline
1765459927847,79,0.0,0,baseline
1765459929851,119,0.0,0,baseline
1765459931860,159,0.0,0,baseline
1765459933977,200,0.0,0,baseline
1765459935988,239,0.0,0,baseline
1765459938020,279,0.0,0,baseline
1765459940032,319,0.0,0,baseline
1765459942066,359,0.0,0,baseline
1765459944079,399,0.0,0,baseline
1765459946113,439,0.0,0,baseline
1765459948114,478,0.0,0,baseline
1765459950148,519,0.0,0,baseline
1765459952163,558,0.0,0,baseline
1765459954200,599,0.0,0,baseline
1765459955609,638,0.0,0,baseline
1765459957618,678,0.0,0,baseline
1765459959633,718,0.0,0,baseline
1765459961666,758,0.0,0,baseline
1765459963682,798,0.0,0,baseline
1765459965749,839,0.0,0,baseline
1765459967787,878,0.0,0,baseline
1765459969840,919,0.0,0,baseline
1765459971860,959,0.0,0,baseline
1765459973895,999,0.0,0,baseline
1765459975917,1039,0.0,0,baseline
1765459977952,1079,0.0,0,baseline
1765459979975,1119,0.0,0,baseline
1765459982010,1160,0.0,0,baseline
1765459984034,1199,0.0,0,baseline
1765459986068,1240,0.0,0,baseline
