timestamp_ms,packets_received,duplicate_rate,sequence_gaps,scenario
1766499460643,37,0.0,2,loss5
1766499460663,75,0.0,3,loss5
1766499462672,114,0.0,4,loss5
1766499464673,151,0.0,6,loss5
1766499466674,186,0.0,10,loss5
1766499468675,224,0.0,11,loss5
1766499470676,259,0.0,15,loss5
1766499472679,296,0.0,16,loss5
1766499474694,333,0.0,18,loss5
1766499476697,371,0.0,19,loss5
1766499478710,409,0.0,21,loss5
1766499480726,447,0.0,22,loss5
1766499482727,484,0.0,24,loss5
1766499484731,519,0.0,27,loss5
1766499486735,556,0.0,29,loss5
1766499488743,591,0.0,33,loss5
1766499490746,630,0.0,33,loss5
1766499491063,666,0.0,36,loss5
1766499493064,704,0.0,37,loss5
1766499495065,742,0.0,38,loss5
1766499497066,778,0.0,41,loss5
1766499499067,815,0.0,43,loss5
1766499501067,852,0.0,45,loss5
1766499503069,888,0.0,47,loss5
1766499505071,924,0.0,50,loss5
1766499507073,959,0.0,54,loss5
1766499509074,995,0.0,57,loss5
1766499511076,1034,0.0,57,loss5
1766499513079,1069,0.0,59,loss5
1766499515082,1107,0.0,61,loss5
1766499517083,1143,0.0,64,loss5
