recv_time_ms,snapshot_id,seq_num,server_ts_ms,latency_ms,jitter_ms,redundancy_used,scenario
1766504646635,420,420,1766504646572,63,0,2,baseline
1766504646635,421,421,1766504646622,13,50,2,baseline
1766504646724,422,422,1766504646673,51,39,2,baseline
1766504646795,423,423,1766504646723,72,21,2,baseline
1766504646795,424,424,1766504646773,22,50,2,baseline
1766504646824,425,425,1766504646824,0,21,2,baseline
1766504646874,426,426,1766504646874,0,0,2,baseline
1766504646925,427,427,1766504646925,0,1,2,baseline
1766504646975,428,428,1766504646975,0,0,2,baseline
1766504647026,429,429,1766504647025,1,1,2,baseline
1766504647076,430,430,1766504647076,0,0,2,baseline
1766504647126,431,431,1766504647126,0,0,2,baseline
1766504647176,432,432,1766504647176,0,0,2,baseline
1766504647226,433,433,1766504647226,0,0,2,baseline
1766504647277,434,434,1766504647277,0,1,2,baseline
1766504647328,435,435,1766504647327,1,1,2,baseline
1766504647378,436,436,1766504647378,0,0,2,baseline
1766504647432,437,437,1766504647432,0,4,2,baseline
1766504647483,438,438,1766504647482,1,1,2,baseline
1766504647533,439,439,1766504647533,0,0,2,baseline
1766504647583,440,440,1766504647583,0,0,2,baseline
1766504647634,441,441,1766504647633,1,1,2,baseline
1766504647684,442,442,1766504647684,0,0,2,baseline
1766504647734,443,443,1766504647734,0,0,2,baseline
1766504647786,444,444,1766504647786,0,2,2,baseline
1766504647836,445,445,1766504647836,0,0,2,baseline
1766504647886,446,446,1766504647886,0,0,2,baseline
1766504647936,447,447,1766504647936,0,0,2,baseline
1766504647986,448,448,1766504647986,0,0,2,baseline
1766504648036,449,449,1766504648036,0,0,2,baseline
1766504648086,450,450,1766504648086,0,0,2,baseline
1766504648137,451,451,1766504648136,1,1,2,baseline
1766504648187,452,452,1766504648187,0,0,2,baseline
1766504648237,453,453,1766504648237,0,0,2,baseline
1766504648287,454,454,1766504648287,0,0,2,baseline
1766504648338,455,455,1766504648337,1,1,2,baseline
1766504648388,456,456,1766504648387,1,0,2,baseline
1766504648438,457,457,1766504648438,0,0,2,baseline
1766504648488,458,458,1766504648488,0,0,2,baseline
1766504648538,459,459,1766504648538,0,0,2,baseline
1766504648589,460,460,1766504648589,0,1,2,baseline
1766504648639,461,461,1766504648639,0,0,2,baseline
1766504648690,462,462,1766504648690,0,1,2,baseline
1766504648740,463,463,1766504648740,0,0,2,baseline
1766504648791,464,464,1766504648791,0,1,2,baseline
1766504650265,465,465,1766504648841,1424,1424,2,baseline
1766504650266,466,466,1766504648892,1374,49,2,baseline
1766504650266,467,467,1766504648942,1324,50,2,baseline
1766504650266,468,468,1766504648993,1273,50,2,baseline
1766504650268,469,469,1766504649043,1225,48,2,baseline
1766504650268,470,470,1766504649094,1174,50,2,baseline
1766504650268,471,471,1766504649144,1124,50,2,baseline
1766504650268,472,472,1766504649194,1074,50,2,baseline
1766504650268,473,473,1766504649246,1022,50,2,baseline
1766504650268,474,474,1766504649295,973,50,2,baseline
1766504650268,475,475,1766504649345,923,50,2,baseline
