recv_time_ms,snapshot_id,seq_num,server_ts_ms,latency_ms,jitter_ms,redundancy_used,scenario
1765460697560,66,66,1765460697547,13,0,2,loss5
1765460697671,67,67,1765460697597,74,61,2,loss5
1765460697674,68,68,1765460697648,26,47,2,loss5
1765460697699,69,69,1765460697699,0,25,2,loss5
1765460697750,70,70,1765460697750,0,1,2,loss5
1765460697801,71,71,1765460697801,0,1,2,loss5
1765460697852,72,72,1765460697851,1,1,2,loss5
1765460697902,73,73,1765460697902,0,0,2,loss5
1765460697953,74,74,1765460697953,0,1,2,loss5
1765460698004,75,75,1765460698003,1,1,2,loss5
1765460698054,76,76,1765460698054,0,0,2,loss5
1765460698105,77,77,1765460698104,1,1,2,loss5
1765460698206,79,79,1765460698206,0,51,2,loss5
1765460698258,80,80,1765460698257,1,2,2,loss5
1765460698309,81,81,1765460698309,0,1,2,loss5
1765460698360,82,82,1765460698359,1,1,2,loss5
1765460698411,83,83,1765460698410,1,1,2,loss5
1765460698461,84,84,1765460698461,0,0,2,loss5
1765460698513,85,85,1765460698512,1,2,2,loss5
1765460698563,86,86,1765460698563,0,0,2,loss5
1765460698614,87,87,1765460698614,0,1,2,loss5
1765460698666,88,88,1765460698665,1,2,2,loss5
1765460698716,89,89,1765460698716,0,0,2,loss5
1765460698767,90,90,1765460698766,1,1,2,loss5
1765460698818,91,91,1765460698817,1,1,2,loss5
1765460698868,92,92,1765460698868,0,0,2,loss5
1765460698919,93,93,1765460698919,0,1,2,loss5
1765460698971,94,94,1765460698970,1,2,2,loss5
1765460699022,95,95,1765460699021,1,1,2,loss5
1765460699073,96,96,1765460699072,1,1,2,loss5
1765460699124,97,97,1765460699123,1,1,2,loss5
1765460699175,98,98,1765460699175,0,1,2,loss5
1765460699226,99,99,1765460699225,1,1,2,loss5
1765460699276,100,100,1765460699276,0,0,2,loss5
1765460699327,101,101,1765460699326,1,1,2,loss5
1765460699379,102,102,1765460699377,2,2,2,loss5
1765460699429,103,103,1765460699429,0,0,2,loss5
1765460699480,104,104,1765460699480,0,1,2,loss5
1765460699531,105,105,1765460699530,1,1,2,loss5
1765460699581,106,106,1765460699581,0,0,2,loss5
1765460699632,107,107,1765460699632,0,1,2,loss5
1765460699683,108,108,1765460699683,0,1,2,loss5
1765460699734,109,109,1765460699733,1,1,2,loss5
1765460699784,110,110,1765460699784,0,0,2,loss5
1765460699835,111,111,1765460699835,0,1,2,loss5
1765460699886,112,112,1765460699886,0,1,2,loss5
1765460699937,113,113,1765460699937,0,1,2,loss5
1765460699988,114,114,1765460699987,1,1,2,loss5
1765460700039,115,115,1765460700038,1,1,2,loss5
1765460700090,116,116,1765460700089,1,1,2,loss5
1765460700139,117,117,1765460700139,0,1,2,loss5
1765460700190,118,118,1765460700190,0,1,2,loss5
1765460700241,119,119,1765460700240,1,1,2,loss5
1765460700291,120,120,1765460700291,0,0,2,loss5
1765460700342,121,121,1765460700342,0,1,2,loss5
1765460700394,122,122,1765460700393,1,2,2,loss5
1765460700445,123,123,1765460700444,1,1,2,loss5
1765460700495,124,124,1765460700495,0,0,2,loss5
1765460700546,125,125,1765460700545,1,1,2,loss5
1765460700597,126,126,1765460700596,1,1,2,loss5
1765460700648,127,127,1765460700647,1,1,2,loss5
1765460700699,128,128,1765460700698,1,1,2,loss5
1765460700749,129,129,1765460700749,0,0,2,loss5
1765460700800,130,130,1765460700800,0,1,2,loss5
1765460700851,131,131,1765460700850,1,1,2,loss5
1765460700902,132,132,1765460700901,1,1,2,loss5
1765460700952,133,133,1765460700952,0,0,2,loss5
1765460701003,134,134,1765460701003,0,1,2,loss5
1765460701054,135,135,1765460701054,0,1,2,loss5
1765460701105,136,136,1765460701104,1,1,2,loss5
1765460701156,137,137,1765460701155,1,1,2,loss5
1765460701206,138,138,1765460701206,0,0,2,loss5
1765460701257,139,139,1765460701256,1,1,2,loss5
1765460701308,140,140,1765460701307,1,1,2,loss5
1765460701359,141,141,1765460701358,1,1,2,loss5
1765460701412,142,142,1765460701410,2,3,2,loss5
1765460701463,143,143,1765460701461,2,1,2,loss5
1765460701514,144,144,1765460701512,2,1,2,loss5
1765460701566,145,145,1765460701563,3,2,2,loss5
1765460701615,146,146,1765460701613,2,1,2,loss5
1765460701667,147,147,1765460701664,3,2,2,loss5
1765460701715,148,148,1765460701715,0,2,2,loss5
1765460701766,149,149,1765460701766,0,1,2,loss5
1765460701818,150,150,1765460701817,1,2,2,loss5
1765460701869,151,151,1765460701868,1,1,2,loss5
1765460701919,152,152,1765460701919,0,0,2,loss5
1765460701970,153,153,1765460701970,0,1,2,loss5
1765460702022,154,154,1765460702021,1,2,2,loss5
1765460702124,156,156,1765460702123,1,52,2,loss5
1765460702225,158,158,1765460702224,1,51,2,loss5
1765460702276,159,159,1765460702275,1,1,2,loss5
1765460702326,160,160,1765460702326,0,0,2,loss5
1765460702377,161,161,1765460702377,0,1,2,loss5
1765460702430,162,162,1765460702428,2,3,2,loss5
1765460702479,163,163,1765460702478,1,1,2,loss5
1765460702529,164,164,1765460702529,0,0,2,loss5
1765460702580,165,165,1765460702579,1,1,2,loss5
1765460702631,166,166,1765460702630,1,1,2,loss5
1765460702682,167,167,1765460702682,0,1,2,loss5
1765460702733,168,168,1765460702732,1,1,2,loss5
1765460702784,169,169,1765460702783,1,1,2,loss5
1765460702834,170,170,1765460702834,0,0,2,loss5
1765460702885,171,171,1765460702885,0,1,2,loss5
1765460702937,172,172,1765460702936,1,2,2,loss5
1765460702988,173,173,1765460702987,1,1,2,loss5
1765460703038,174,174,1765460703038,0,0,2,loss5
1765460703141,176,176,1765460703140,1,53,2,loss5
1765460703191,177,177,1765460703190,1,0,2,loss5
1765460703242,178,178,1765460703241,1,1,2,loss5
1765460703292,179,179,1765460703292,0,0,2,loss5
